name,description,specializations,expertises,premierPartner,initiatives,products,regions
DEVOTEAM G CLOUD,"Build cultures of innovation with Google Cloud. With +2600 clients in +18 countries, Devoteam G Cloud is a Google Cloud ...","Infrastructure - Services, Cloud Migration - Services, Data Analytics - Services, Application Development - Services, Machine Learning - Services, Work Transformation - Enterprise, Infrastructure - Training, Data Analytics - Training","Google Cloud Analytics, Google Cloud ML & ML APIs, Telecommunications, Document AI, Google Cloud Storage & Delivery, VM Migration, Google Cloud Compute, Google Cloud Databases, Visual intelligence, Application Security, Security Analytics & Operations, Data Protection & Privacy, Data integrations, Cloud Native Application Development, Modernize Legacy Applications, Retail & Wholesale, Financial Services, Custom-built app migration, Improve software delivery pipeline, Data Warehouse Modernization, SAP, Disaster recovery, SAP on Google Cloud, Alibaba Cloud, Vertex AI, Google Cloud Productivity, Migrate OpenShift workloads to Anthos/GKE, Mobile application development, Business & Professional Services, AppSheet",False,"Managed Services Provider, Cloud Search, Actifio Initiative, Marketing Co-op Funds, Solution Providers Accelerator Initaitive, SecOps Reseller Initiative, Generative AI Initiative for Service Partners","Google Cloud Platform, Google Workspace, Chrome, Google Maps Platform, Google Workspace for Education, Professional Services Organization, Google Cloud Training","GLOBAL_REGION, EMEA_REGION, LATAM_REGION, APAC_REGION, NA_REGION"
SpringML,"SpringML and Egen Solutions have merged to unleash the power of cloud, data, AI, and platforms for organizations. Our ...","Security - Services, Data Management - Services, Data Analytics - Services, Machine Learning - Services, Application Development - Services","Enterprise Databases Migration, Education, Visual intelligence, Financial Services, Application Security, Looker Embedded Analytics, Contact Center Intelligence, Looker Delivery Verification Training, Data Protection & Privacy, SAP, Data integrations, Small & Medium Business, Document AI, Healthcare & Life Sciences, Google Cloud Analytics, Retail & Wholesale, Media & Entertainment, Advertising & Marketing, Industrial Goods & Manufacturing, Streaming Data Analytics, Security Analytics & Operations, Cloud Native Application Development, Build with Google, Vertex AI, Mobile application development, Google Cloud App Dev & Monitoring, Asset tracking, Data Lake Modernization, Data Science Development, Remote monitoring, Predictive maintenance, Marketing technology, Marketing science, Data processing, Identity & device  management, Penetration / Vulnerability Testing, Improve software delivery pipeline, Google Cloud Networking, Data archival, Business & Professional Services, Open Source Technology, Open Source Databases with Google Cloud, MLOps, Government, Telecommunications, Data Warehouse Modernization, CCAI Integration, Google Cloud ML & ML APIs, Google Cloud Compute, Conversational Design, Google Maps Platform, Google Cloud Identity & Security, Google Cloud Databases, Google Cloud Storage & Delivery, Supply Chain & Logistics, Energy & Utilities, MySQL/postgre SQL migration, Consumer Packaged Goods, HashiCorp, Automated backup & restore, Disaster recovery, Database Modernization, Looker BI Modernization",False,CCAI Virtual Agent Accelerator,Google Cloud Platform,"GLOBAL_REGION, NA_REGION, APAC_REGION"
Aliz Technologies,"As an exclusive Google Cloud Partner, Aliz offers expert solutions in Infrastructure, Data Analytics, Artificial Intelligence/ Machine Learning and ...","Cloud Migration - Services, Infrastructure - Services, Data Analytics - Services, Data Analytics - Services, Machine Learning - Services","Retail & Wholesale, Advertising & Marketing, Small & Medium Business, VM Migration, Data integrations, Streaming Data Analytics, MLOps, Consumer Packaged Goods, Vertex AI, Data Lake Modernization, Google Cloud Analytics, Google Cloud Compute, Supply Chain & Logistics, Disaster recovery, Application Security, Google Cloud Databases, Google Cloud Storage & Delivery, Automated backup & restore, Compliance Modernization, Data processing, Marketing science, Marketing technology, Google Cloud Identity & Security, Google Cloud Networking, Google Cloud Productivity, Open Source Technology, Improve software delivery pipeline, Data Protection & Privacy, Modernize Legacy Applications, MySQL/postgre SQL migration, Migrate OpenShift workloads to Anthos/GKE, Amazon AWS, Energy & Utilities, Google Cloud Onboarding, Google Cloud ML & ML APIs, Content Delivery, Google Cloud App Dev & Monitoring, eCommerce app modernization, Build with Google, Work Transformation, Open Source Databases with Google Cloud, Cloud Natives, Financial Services, Data Warehouse Modernization, Automotive, Business & Professional Services, Custom-built app migration",False,"Lead Management, Marketing Co-op Funds, SecOps Reseller Initiative","Google Cloud Platform, Professional Services Organization, Google Workspace","GLOBAL_REGION, EMEA_REGION, APAC_REGION"
Eviden (An Atos business),"At Atos, our mission is to help design the future of the information technology space. – Elie Girard, CEO –. Atos&#39; history spans ...","SAP on Google Cloud - Services, Location-Based Services, Infrastructure - Services, Marketing Analytics - Services, Work Transformation - Enterprise, Application Development - Services, Data Analytics - Services, Cloud Migration - Services",,False,"Anthos Ready Partner Initiative, Managed Services Provider, Cloud Search, SecOps Reseller Initiative","Google Workspace, Google Cloud Platform, Professional Services Organization, Chrome, Google Workspace for Education","GLOBAL_REGION, APAC_REGION, NA_REGION, LATAM_REGION, EMEA_REGION"
Onix,Onix is a trusted cloud consulting company and leading Google Cloud partner that helps companies get the most out of their technology with ...,"Application Development - Services, Data Analytics - Services, Location-Based Services, Work Transformation - Enterprise, Infrastructure - Services","Google Cloud Productivity, Industrial Goods & Manufacturing, Google Cloud OS & Hardware (Chrome), Improve software delivery pipeline, Google Maps Platform, Government, Small & Medium Business, Healthcare & Life Sciences, Asset tracking, eCommerce app modernization, New eCommerce app development, Disaster recovery, Application Security, Compliance Modernization, Penetration / Vulnerability Testing, Security Analytics & Operations, VM Migration, Data processing, Cloud Forensics, Data Protection & Privacy, Identity & device  management, Incident Response, Anthos: Hybrid/Multi-cloud App platform, Apigee, Data archival, Google Cloud Onboarding, Google Cloud Networking, As-is eCommerce app migration, Google Cloud Compute, AppSheet, Automotive, Amazon AWS",False,"Cloud Search, Managed Services Provider, Lead Management, Actifio Initiative, Marketing Co-op Funds, Google Maps Platform Mobility Initiative, Solution Providers Accelerator Initaitive, SecOps Reseller Initiative","Google Workspace, Google Cloud Platform, Chrome, Google Maps Platform, Professional Services Organization, Google Workspace for Education, Google Cloud Training","GLOBAL_REGION, NA_REGION"
"EPAM Systems, Inc.","EPAM Systems Inc. (EPAM), a leading digital transformation services and product engineering company. Since 1993, the ...","Machine Learning - Services, Data Management - Services, Security - Services, Security - Services, Machine Learning - Services, Data Management - Services","Data integrations, Document AI, Vertex AI, Mainframe Modernization, Data Protection & Privacy, Work Transformation, Productive Meeting Experiences, Application Security, Security Analytics & Operations, Automated backup & restore, Data Lake Modernization, Remote monitoring, Google Cloud Networking, Google Cloud Compute, Data processing, Google Cloud Storage & Delivery, Google Cloud Onboarding, Telecommunications, Financial Services, Retail & Wholesale, Consumer Packaged Goods, Compliance Modernization, Google Cloud Identity & Security, Google Cloud Analytics, MLOps, Google Cloud Databases, Content Delivery, Amazon AWS, Build with Google, Database Modernization, Asset tracking, Data Warehouse Modernization, Teradata, Streaming Data Analytics, Cloudera, Google Cloud App Dev & Monitoring, Healthcare & Life Sciences, Custom-built app migration, Enterprise content management, High Performance Computing",False,Solution Providers Accelerator Initaitive,"Google Cloud Platform, Google Workspace","GLOBAL_REGION, EMEA_REGION, NA_REGION, LATAM_REGION, APAC_REGION, JAPAN_REGION"
DXC Technology,DXC Technology helps our customers across the entire enterprise technology stack with differentiated industry solutions ...,"Data Center Modernization - Services, Cloud Migration - Services, SAP on Google Cloud - Services, Cloud Migration - Services, Infrastructure - Services, SAP on Google Cloud - Services, Security - Services","VM Migration, Application Security, Google Cloud Identity & Security, Compliance Modernization, Financial Services, Anthos: Hybrid/Multi-cloud App platform, Identity & device  management, Energy & Utilities, Supply Chain & Logistics, Healthcare & Life Sciences, Gaming, Telecommunications, Government, Modernize Legacy Applications, Google Cloud Analytics, Apigee, Data processing, Google Cloud App Dev & Monitoring, Cloud Native Application Development, Data Warehouse Modernization, Mobile application development, Google Cloud Storage & Delivery, Data Lake Modernization, Industrial Goods & Manufacturing, Remote monitoring, Microsoft Azure, Migrate Oracle Workloads to Google Cloud, Retail & Wholesale, Google Cloud Onboarding, Build with Google, Backup and DR Service, NetApp, Custom-built app migration, Google Cloud Networking, eCommerce app modernization, Data archival, HashiCorp, Disaster recovery, Streaming Data Analytics, Amazon AWS, Microsoft on Google Cloud, Oracle Cloud, Marketing science, Automated backup & restore, Cloudera, New Business Channels using APIs, VMware as a Service, Consumer Packaged Goods",False,"Managed Services Provider, Actifio Initiative, ISV Solution Connect","Google Cloud Platform, Professional Services Organization, Google Workspace, Chrome","GLOBAL_REGION, APAC_REGION, EMEA_REGION, JAPAN_REGION, NA_REGION"
SoftServe,"As a Google Cloud Partner, SoftServe is committed to supporting the entire Google family of solutions. We drive increased ...","Machine Learning - Services, Security - Services, Machine Learning - Services, Data Analytics - Services, IoT - Services, Infrastructure - Services","Media & Entertainment, Financial Services, Small & Medium Business, Industrial Goods & Manufacturing, Google Cloud App Dev & Monitoring, Google Cloud Identity & Security, Remote monitoring, Data Lake Modernization, Asset tracking, Predictive maintenance, Automotive, Energy & Utilities, Improve software delivery pipeline, VM Migration, Retail & Wholesale, Streaming Data Analytics, eCommerce app modernization, Open Source Technology, Healthcare & Life Sciences, Mobile application development, Apigee, Modernize Legacy Applications, New Business Channels using APIs, Database Modernization, Data Warehouse Modernization, Google Cloud Analytics, Google Cloud Compute, Google Cloud Databases, Google Cloud Networking, Cloud Native Application Development, Vertex AI, Identity & device  management, Business & Professional Services, Advertising & Marketing, Consumer Packaged Goods, Google Cloud Onboarding, Google Cloud Productivity, Cloud Natives, Google Cloud Storage & Delivery, Google Cloud ML & ML APIs, Custom-built app migration, As-is eCommerce app migration",False,"Solution Providers Accelerator Initaitive, Generative AI Initiative for Service Partners",Google Cloud Platform,"GLOBAL_REGION, EMEA_REGION, NA_REGION, LATAM_REGION"
Ancoris,Think Big. Start Now. Innovate and transform through the use of Google Cloud. We have extensive expertise in Google ...,"Work Transformation - SMB, Application Development - Services, Data Analytics - Services, Machine Learning - Services","Google Cloud Analytics, Google Cloud Compute, Google Cloud OS & Hardware (Chrome), Productive Meeting Experiences, Google Maps Platform, Gaming, Google Meet, Google Cloud App Dev & Monitoring, Cloud Native Application Development, Streaming Data Analytics, Data processing, Data Warehouse Modernization, New Business Channels using APIs, Data Science Development, Vertex AI, Google Cloud ML & ML APIs, Disaster recovery, Google Cloud Networking, Amazon AWS, Data archival, Open Source Technology, VM Migration, Google Cloud Storage & Delivery, HashiCorp, Automated backup & restore, VMware, Looker Delivery Verification Training, Looker Embedded Analytics, Looker BI Modernization, Google Cloud Productivity, Healthcare & Life Sciences, Government, Retail & Wholesale, Media & Entertainment, Small & Medium Business, Business & Professional Services, Education, Financial Services, Cloud Natives, Google Cloud Databases, Work Transformation, Consumer Packaged Goods, Advertising & Marketing, Automotive, Mobile application development, Identity & device  management, Visual intelligence",False,"Cloud Search, Google Maps Platform Mobility Initiative, Marketing Co-op Funds","Google Cloud Platform, Google Workspace, Professional Services Organization, Google Maps Platform, Chrome, Google Workspace for Education","GLOBAL_REGION, EMEA_REGION"
CDW,"CDW is a leading multi-brand technology solutions provider to business, government, education and healthcare organizations ...","Cloud Migration - Services, Infrastructure - Services, Application Development - Services, Data Analytics - Services","CCAI Integration, Compliance Modernization, Data Warehouse Modernization, Looker BI Modernization, Data Protection & Privacy, Conversational Design, Google Cloud Analytics, Google Cloud App Dev & Monitoring, Gaming, Database Modernization, HashiCorp, Google Cloud Compute, VM Migration, Google Cloud Networking, Anthos: Hybrid/Multi-cloud App platform, New Business Channels using APIs, Cloud Native Application Development, Streaming Data Analytics, Healthcare & Life Sciences, Contact Center Intelligence, Modernize Legacy Applications",False,"Marketing Co-op Funds, Managed Services Provider, Lead Management, Solution Providers Accelerator Initaitive, SecOps Reseller Initiative","Google Workspace, Google Cloud Platform, Chrome, Google Workspace for Education","GLOBAL_REGION, NA_REGION"
Cognizant,"Cognizant engineers modern businesses. As one of the world&#39;s leading professional services companies, we help our ...","Infrastructure - Services, Data Analytics - Services, Data Analytics - Services, Infrastructure - Services, Application Development - Services, Application Development - Services, Data Analytics - Services","Modernize Legacy Applications, Google Cloud App Dev & Monitoring, Retail & Wholesale, Financial Services, Open Source Technology, Google Cloud Databases, Google Cloud Analytics, Google Cloud Networking, New Business Channels using APIs, Application Security, Conversational Design, Mainframe Modernization, Apigee, Telecommunications, Cloud Native Application Development, Google Cloud Storage & Delivery, Automotive, Microsoft on Google Cloud, Media & Entertainment, CCAI Integration, Data integrations, Data Warehouse Modernization, Data Lake Modernization, Contact Center Intelligence, Healthcare & Life Sciences, Amazon AWS, Data archival, Teradata, SAP, SAP on Google Cloud, Google Cloud Compute",False,"Global Systems Integrator Accelerator Initiative, Google Earth Engine Initiative, Generative AI Initiative for Service Partners","Google Cloud Platform, Google Cloud Training, Professional Services Organization","GLOBAL_REGION, APAC_REGION, EMEA_REGION, NA_REGION, LATAM_REGION"
